Job Title,Job Info,Job Type,Job Link,employees,Job Desception,Company Info
AWS Data Engineer,"Revcloud · Lahore, Punjab, Pakistan (Hybrid)  
1 week ago

 · 95 applicants",Full-time,https://www.linkedin.com/jobs/view/3714610315/?eBP=CwEAAAGKwID4ho5LPRJYgD0VPaPxDrCMJ_pbz7uRleP_6gkUMGXwc2oXwtaLzbphgECvccG1lOXIXB1hnpktYN9wVt24CvaZizDm1IMP3xOVJgFvgUi4OMfFRowfwvWRHZmWwVzIy1nWUW4RNhJ9MzWkt2hPGB7CJ0AuLJd3m8YO4iBXiMWumSYWnCPTc-0W6fKrJSZ-fvW93XoPcRLkwycAnc_N4VkZyrNtngJo9pBv8QlMXkaMWjTGhVHgpi7ha4twYPZvjMm_5XZgtBSm4Rr2dMzbJ9vNRiLraUhuwNkABOU1YFgy5cnuh8JSK5p0RyoY8VGEBCZ6eu_48J3ptv_NqnGVHKuXkUMjg8YwSc3u8j7zDZGIbxkCt2IwmAS5Axk&refId=%2FnacsKUzjbCWekm1BTKqdA%3D%3D&trackingId=%2B6P6amGpjmT29IL0tMgXTw%3D%3D&trk=flagship3_search_srp_jobs,11-50 employees,"About the job
            

 
About Revcloud:Revcloud is helping businesses use data to grow and we match you with low cost global teams to push your business to the next level. Imagine if you had all of the potential buyers of your products and services in your database, you knew what they liked to read, how to get them to talk to you, and you could use machine learning and AI to generate leads and grow your revenue. Revcloud is data you need, the playbooks proven to grow your business, and the low cost global teams to do the work.Job Summary:We are looking for an AWS Data Engineer to join our team. As a data engineer, you will be responsible for designing and implementing scalable, reliable, and efficient data pipelines on AWS cloud infrastructure. You should have at least 2+ years of experience working with AWS data technologies.Key Responsibilities: Design and develop data ingestion pipelines using AWS Glue, S3, and other relevant tools.Work with stakeholders to identify data requirements, data sources, and data transformations.Implement data quality checks and data validation procedures.Optimize data pipelines for performance and scalability.Troubleshoot and resolve data pipeline issues.Develop and maintain technical documentation.
Required Skills and Experience: At least 2 years of experience in AWS data engineering.Familiarity with AWS Glue, Athena, and S3.Strong programming skills in Python.Experience with SQL and relational databases.Experience with data modeling, data warehousing, and ETL.Familiarity with AWS Lambda and CloudFormation.Strong analytical and problem-solving skills.Excellent communication and collaboration skills.
Education and Certifications: Bachelor's or Master's degree in Computer Science, Software Engineering, or related field.AWS certification, such as AWS Certified Developer - Associate or AWS Cloud Practitioner is a plus.
Working Conditions: This is a hybrid position, you will be required to work from our Lahore office 3 days per week. 3 days/week on-call availability will be required.Working with a team in different time zones may require flexibility with working hours.If you meet the requirements and are passionate about working with data technologies on AWS cloud infrastructure, we encourage you to apply for this exciting opportunity as an AWS Data Engineer.","Software Development
            
              11-50 employees
            

              45 on LinkedIn"
Information Technology Business Partner,"Packages Group · Lahore, Punjab, Pakistan (On-site)  
3 weeks ago

 · 385 applicants",Full-time · Mid-Senior level,https://www.linkedin.com/jobs/view/3702265210/?eBP=CwEAAAGKwID4hpuXRapRBwBdVykXYAOw0i55zvzYvn4HlaW-n6yl0by9D6OFjbGi-tXT25qgXL-UC0vHHHG7KBrsUkcEHsvIAakmhvYtQIr-8iHK_A-t_4jHsP4FhawPZr762OsWNif4gaqZYQxBUrq7X_acatkx27AMMxZMj_AzyN67QFoAdc-MOF85xWHx_aHS1zR25-jW96ulq1vHi1KAU5gh673_ABTd48Hzs-MS19sop-YwV10iE8Q8VoMBuWNaasAXeJgJ92eyYpgES6CV4VUqvIPyqhPAPwoFRgAHOvowgUssMk_twzqLRr8pudtcOB5DLltBqmeGvZ94bCm8R8HVvtyaURUl&refId=%2FnacsKUzjbCWekm1BTKqdA%3D%3D&trackingId=MsjypiPrDXs%2BPgnXKYDyqA%3D%3D&trk=flagship3_search_srp_jobs,"5,001-10,000 employees · Packaging and Containers Manufacturing","About the job
            

 
Responsibilities Serve as strategic interface with the relevant Business Unit or Company for the purpose of information technology strategy development, IT service delivery and relationship management.End to end delivery of the projects covered by the IT and Digitalization Roadmap including ERP SAP implementation for the relevant Business Unit/ Company.
Qualifications & Skills MS or BS (CS)/ MBAMinimum 6-8 years of relevant experienceExtensive knowledge of IT industry trends, standard service delivery, IT infrastructure and project management including S/4HANA and SAP Cloud solutions.",
Python System Engineer,"Navigation and Communication Solutions Pvt Ltd · Lahore, Punjab, Pakistan (On-site)  
1 day ago

 · 44 applicants",Full-time,https://www.linkedin.com/jobs/view/3724294657/?eBP=CwEAAAGKwID4hrxzJ2VsJN2AYkRTu2b353TRgBx9qb0ZX6dtPWaywEzEvXXQuqIUThlmDGBUFZzowMRAaFf_XqoJW0k3pGDFLIezBI6nPJT4EHvhdom4iGPhfVUQYFkz8eHZRuZqGMA8_h-zTKZKB_OIaFV_vlp394wYt1XOex_rVpC1L2gbJFUqlGa97WWmGieCLS1ZvMAdMqW6wuLWH2bLtfoLUJsdjs05vGbxNXltnwfVutqgo58krk6Wjy-4loxEkhzqNWP4yDKxnM006gEU6gJsEaS5e77fKoBqoDLUslzH8nzF4gCVUZbOC9iSkji_Pt9me6Y-5YOI4wLnT2z1FEbTNJTVQNhF&refId=%2FnacsKUzjbCWekm1BTKqdA%3D%3D&trackingId=PU23McX6fXbG2XKLsECQzA%3D%3D&trk=flagship3_search_srp_jobs,11-50 employees,"About the job
            

 
Job descriptionNavigation & Communication Solutions is looking for a dedicated & professional Python Developer who will be responsible for designing, developing, and implementing web applications, Server applications, APIs & custom controls. You must have MS degree in computer science or related discipline (18 Years of Education). You must have previous experience in Python development, configurations & deployments. Experience in ASP.Net, Dot Net Core, React, JQuery, Javascript & CSS is also required. We have a team comprised of highly recognized engineers. We are open to considering candidates based in any area who can work in our Lahore Development Office. Key Responsibilities: Manage existing applications modules built using similar technologiesDesign & implement new application modules based on the product requirements using Python, React, Javascript, JQuery, CSS, HTML5, LINQ, CSS3, JavaScript (ES6), C#, ASP.Net & Dot Net Core technologies.Build reusable code and libraries for future usethe current product.Implement & Manage data storage solutionsImplement & Integrate APIs (Django, Fast, Flask, Dot Net Core, Dot Net)Debug existing apps components, fix issues and avoid regressionsCollaborate closely with the teams of UI/UX designers, PMs, QAs, and other developersLead in software architecture, design discussions and code reviewsOptimize application for maximum speed and scalabilityFollow the company guidelines and best practicesManage storage Databases (SQL, MySQL, Postgres).Experience authoring, testing, and deploying code high-scale production applicationsMust have 2-5 years of Experience in development.
 Skills and Qualifications:  You have a Master degree in computer science or related discipline (18 Years of Education).Must have strong mathematical skills.Must have developed some presentable applications.Experience with Microsoft SQL server managementExperience with third-party libraries and API integration.Experience with supporting languages for different custom components (such as PHP, PowerShell, Power Query, Node.JS)Strong verbal and written communication skillsProficient understanding of code versioning tool, Git is preferred.Good understanding of Object-Oriented Programming & data structuresMicrosoft Certification is preferred.
Benefits:We offer an attractive benefits package, including but not limited to the following: Robust Medical Indoor & Outdoor coverageA break from work with Paid Time Off & HolidaysQuarterly BonusesPaid working Saturdays for priority deliveriesFlexible work environmentCompany DinnersBirthday CelebrationsFree / Paid WorkshopsWeekly Saturday / Sunday are Off
Job Type: PermanentSalary: Market Competitive","IT Services and IT Consulting
            
              11-50 employees
            

              22 on LinkedIn"
Full Stack Engineer,"Crexed · Bahawalpur, Punjab, Pakistan (On-site)  
1 week ago

 · 51 applicants",Full-time,https://www.linkedin.com/jobs/view/3716768494/?eBP=CwEAAAGKwID4hkH7ASqs3Q52GpRgJYC1AxNsQn8UJkqju-uf7t0nbapwnREhqt0KRgD5L1ra0ziTGZu2PQ29C4tSgqAYleYwurycug4oMoK20Hr7Z1rVJ4MVtLQscTUnc0iDNItdg7G4FhKqaUPKIIutBWKyYboE30VxvUQ_ynEC8dbv6fyM5PW8RPS1cMBwV3IGIZgS9FbZ79QwKt-3oPZvs99qQ0Eu9jjbrFcE2x7b5wNFxEw4ZNkbm4u5zBw0M67Zt3s96SRApk-Yj2QzVwN8RStli2ayQTi2WY33Qo4L_JxzpE6jTApq-_UyADTyA2FSWzdAqPVXm5K_br9o0vBV5fn_GhO_lIJu219VlbM6mWxLc9jUOvxWqD-rgOV40EopSw4fV5Jv8hH87gfjxrjpHTkZmkObUR6Qs9Hd&refId=%2FnacsKUzjbCWekm1BTKqdA%3D%3D&trackingId=xm6Puq6fYjAYo8GQseOvLg%3D%3D&trk=flagship3_search_srp_jobs,11-50 employees,"About the job
            

 
Full Stack Developer (Laravel, Codignator)Responsibilities Designing and developing the front-end of a website or application. This includes working with HTML, CSS, and JavaScript to create a user interface that is both functional and visually appealing.Developing the back-end of a website or application. This includes working with programming languages such as PHP and its framework Laravel, and codeingnator to create the logic that powers the website or application.Working with databases to store and retrieve data. This includes understanding the principles of database design and how to implement them in a real-world application.Testing and debugging code. This involves finding and fixing errors in code to ensure that the website or application works as intended.Collaborating with other developers and team members. This includes communicating effectively and working together to deliver a successful project.Staying up-to-date on the latest technologies. This is essential for full stack developers, as the field of web development is constantly evolving.
In addition to these technical responsibilities, you may also be responsible for the following: Providing support to users. This includes answering questions from users about how to use the website or application.Managing projects. This includes planning, scheduling, and tracking the progress of projects.
QualificationsMinimum graduation preferably Master",
Data Specialist,"Careem · Karāchi, Sindh, Pakistan (Remote) Reposted  
2 weeks ago

 · 810 applicants",Full-time · Entry level,https://www.linkedin.com/jobs/view/3697310727/?eBP=JOB_SEARCH_ORGANIC&refId=%2FnacsKUzjbCWekm1BTKqdA%3D%3D&trackingId=K78lp4svDfp1O9Z1N5DdoQ%3D%3D&trk=flagship3_search_srp_jobs,"1,001-5,000 employees · IT Services and IT Consulting",About the job,
Business Development Specialist,"DotSinc · Rahimyar Khan, Punjab, Pakistan (On-site) Reposted  
1 week ago

 · 182 applicants",Full-time,https://www.linkedin.com/jobs/view/3713258514/?eBP=CwEAAAGKwID4hiPKJDfpML9uxfK3Dze3Vki95q8B57Lv2FqOM6ZiyQlz4KEUNmgqp6OJu-njVkQKUsNigKJZ62JKhxHCsvgYxdYnC2PsNKIQfE4YCD4TsCA8mwsC-cBrnv9CsL-q9mYBujAH6VA6a5mgumPISEVws_7ss_nqQgadBDbvk-zDERzZk3sqf-5xbKJD9V3t9tDsTgmf1Wr7F1ugQ6oNsDZoLDz6buv-MJgNOVJuruB7HgIbuPqejaS6EqzhcxPYJf7SyqFOjz76Jn7-QqK5-srZYPVGKR1Vnh78p9zXeteen6Ai-oKEhZZ3JZaK01PMjoFw0vvVxnAir2myA4bHpnPVSSTWYInBIPLH2Mz3aCml9lmw2iZuJcsyad6KmQiyHvdgn4uoKWPvKxv4YfPwDRfXRW-IhbeJEX4m&refId=%2FnacsKUzjbCWekm1BTKqdA%3D%3D&trackingId=%2FWz7AaZVuXCr9dY30NHJqw%3D%3D&trk=flagship3_search_srp_jobs,1-10 employees,"About the job
            

 
The ideal candidate is a motivated, organized, and creative individual who welcomes the challenges of acquiring and developing new business through sales efforts. You will build key customer relationships, identify business opportunities, and close business deals while maintaining an extensive knowledge of current market conditions.  Responsibilities Cultivate strong business relationships with key decision makersProactively identify new opportunities and deliver innovative solutions to customersDevelop market strategies by researching lists of high potential prospects
Qualifications Currently enrolled in university of recent graduatedExcellent written communication skills","IT Services and IT Consulting
            
              2-10 employees
            

              2 on LinkedIn"
PPC Optimizer Role,"Clicks Geek · Pakistan (Remote)  
2 months ago

 · 958 applicants",Full-time,https://www.linkedin.com/jobs/view/3664035954/?eBP=CwEAAAGKwID4hmDn2yWnZY_vTZynGJ3UVF5SyEuxjl1yeM7JwGD09cbGy9S382clCUHQNTuB-C0V3IeEksrm1qIiJI_KZNWOSvnv5SW-6gAgRNZzplmukCd_XxwuwUi1Z7cX1e9mhCUWiBFxWZqZE_AHGwXQvOfwXI3nzvkLJOwtiha5P0curFFAYP9ghVe1K3vwY2hThZdxjsjpnKf9twWiGWU8whv42KXLS263my1lx9HD47TFDHaiWU7WLjXqIT5HdUR-iAkNGJysE3xmm6G-FJ-Eef2_2TCeF0U5cz445WHVbW4TnN__d6E-2qMMkAx62LBuCWAByMJiG9gcswdsJWXNnGXAB86BNIIGIrAqdITBfixkQuxC1oI8qoU&refId=%2FnacsKUzjbCWekm1BTKqdA%3D%3D&trackingId=iNzg3VOoyN0RFPgWJBSf7Q%3D%3D&trk=flagship3_search_srp_jobs,11-50 employees,"About the job
            

 
Clicks Geek PPC Optimizer Role Job DescriptionClicks Geek is a Google Premier Partner Agency with a focus on PPC ads for a large number of clients nationwide. We’re looking for a PPC specialist/manager to join our close-knit team and assist in providing excellent advertising to our client base. In this role, you will be managing daily ad optimizations for client Google Ads PPC accounts, under the supervision of our ad management team. Responsibilities:Reviewing the recommended ad optimizations on 30-40 accounts per dayAdding negative keywords for each account weeklyReporting any sharp changes in ad performance to the ad supervisor The ideal candidate MUST:1. Have 3+ years of experience with Google Ads2. Be Google Ads certified3. Have Google Ads campaign management experience 4. Be able to complete optimizations efficiently and on time5. Work Hours 9-5 ESTWe offer a flexible schedule, competitive pay, and an opportunity to grow with a PPC ad agency committed to excellence. Work Location:Fully Remote","Technology, Information and Internet
            
              11-50 employees
            

              8 on LinkedIn"
Assistant Manager Research & Innovation,"U Microfinance Bank Limited · Islamabad, Islāmābād, Pakistan (On-site)  
2 weeks ago

 · 504 applicants",Full-time · Entry level,https://www.linkedin.com/jobs/view/3709383492/?eBP=CwEAAAGKwID4htX7skXEJzCc50l16cOaCmUiwWm406VYrw0TY7vEheLUKvDHFnwnSxBsQBQOiryv0PbABM156buuoJf-hVprDUfx85rQ_ijujuoJLgpZFlvVzIn2qUY4AQRYsUiBB0OG3iXxKDAFnncb2dwvzOCuKpVFb7RG-Pfqhxz0m2-1FE8waJIJhF5TjEqpd-w9d1RXDGBAryxApUrthuDelNsN8VMNqF2TX0c5vZk0Dh2Q2SMw1YCSq2I3Qkf2IyE3VmRl4z14TdyTsvDk2t9jMSl3ZOflLLRzZWml9MS0W_6OfVjt0UGcrKRmv5Obo621ObPz88RxRAVClH_Vn5HNecIMuSLt&refId=%2FnacsKUzjbCWekm1BTKqdA%3D%3D&trackingId=FbNKHwk2sJquMi25KsaJiQ%3D%3D&trk=flagship3_search_srp_jobs,"1,001-5,000 employees · Banking",About the job,
Junior Writer,"Grothico · Karachi Division, Sindh, Pakistan (On-site)  
1 week ago

 · 179 applicants",Full-time,https://www.linkedin.com/jobs/view/3713500850/?eBP=CwEAAAGKwID4hr1kyKydligErAdyxuxt44CcTVg7fjcbpbvGhzBKLnSVw829ftv4WG7hv06HmuVAqyHJdw5ZOikXCKQQr-bT9A_TBHGtyoxaAz8xjxSJ-eP3eV9EdIZ5pjYo0KDXqp4QqZLqZEgdWRkBn65b3KkSCQ9X_qD0nnuEH9ey8h4jc031SxuVq0QPqPbrd1C6rvxj3K4_FYC7vmR4kScF4FEmQiOOKzPGyzUn6PbH0MtP0rJRAOtsQkzvrvJA6YKuvpPU36bcygUbUkffecGO4pcJOpZh-Vt1RGTlnWGDYiP2t3VZX69uAgzLJVWqKZ7xr7tDnMeZcYIxvWKPafeI0eoLWqyHTjaNIEmxYq8S-DQylsEfkSuik4uS8UU&refId=%2FnacsKUzjbCWekm1BTKqdA%3D%3D&trackingId=KGWvtP96ROHYYLiBFXgKnA%3D%3D&trk=flagship3_search_srp_jobs,11-50 employees,"About the job
            

 
We are looking for a Junior Content Writer (Night Shift)Here are some key highlights of what we're looking for in a content writer:- Exceptional writing skills with a keen eye for detail- Ability to create engaging and informative content across various topics and industries- Strong research skills to develop well-informed articles, blog posts, and web content- Understanding of SEO best practices and how to optimize content for search engines- Ability to meet deadlines and work collaboratively with our teamIf this sounds like an exciting opportunity for you and you'd like to explore the possibility of joining our team, I would love to have a conversation with you. We value a collaborative and creative work environment, and we believe your expertise could contribute significantly to our content strategy.Please let me know if you're available for a brief chat, either via LinkedIn messaging or email (Hr@grothico.com). If you have any questions or would like to share more about your writing experience, I'm all ears!",
Business Development Specialist,"PrismTeck · Pakistan (Remote) Reposted  
5 days ago

 · 579 applicants",Full-time,https://www.linkedin.com/jobs/view/3717257059/?eBP=CwEAAAGKwID4hmBWCIOvTBFD0sjcELcGBwcVn57G6YAmisysPKbLmu5ZAcXsphiIKc5z9vck56qaVq7D_mQbpNJxTN_CM8pTuYDcWGtnLI-0BtR8N2uTNidu25sARY32I5fKW1RuZyHWFtU1uCYZ9Q4omgZM8DQ_gJXdHFRIA8qw0ghKM8XixqSih1bbTwAwf5GAndSbnBfYPAtmRi5st5jJVQjehKOq16rt0UsPQBBiXnp_9V8z3YYrcAXDDoinOAmspZg_0I-V0r2p9dTBBBvVTzFPXhKb9-ggmAOgYWeWc50fU2WIVUA3pUoHsCX6PwN83TJTVuE5rGkrKxlQjF9eIGUKvuKVw_N7yw-uhol4dbrFh0S5Oo4a9M4IK9J8tKg&refId=%2FnacsKUzjbCWekm1BTKqdA%3D%3D&trackingId=IISxGwKJzR%2F3YuBLjqSQDw%3D%3D&trk=flagship3_search_srp_jobs,11-50 employees,"About the job
            

 
Canadian-based PrismTeck Business Development Inc (https://www.prismteck.com) is growing its online team in Pakistan, Sri Lanka and Philippines and looking for Business Development Specialist  Role and Responsibilities·      Doing Online research using Google, YouTube, LinkedIn, and social media sources to identify projects, people, and the contact details of assigned accounts/customers.·      Preparing Account Business Plans.·      Setting up meetings for Field Business Development colleagues.·      Writing Minutes of Meetings / Call Reports based on inputs from the BD team.·      Ensuring timely and accurate entry into CRM and other templates provided.·      Develop good understanding of cost/pricing scenarios and prepare proposals.·      Collaborate with our existing teams to assist in completing assigned tasks with the intent of sharing the workload.·      Research and develop the blog post content for our marketing team.·      Assist in completing the application forms and sending them to the customers.·      Assist in developing project plans with proper timelines with accurate progress tracking. Qualifications and Education RequirementsYoung business graduates (BBA/MBA) with 1-3 years’ experience Preferred Skills·      Technical skills (i.e., computer proficiency in Microsoft Word, Excel, Access, and Microsoft Office Suite)·      Understanding of online tools for use in lead sourcing·      Excellent English communication and presentation skills (written and oral).·      Organization, planning, and persistence skills·      Strong work ethic along with a professional, proactive demeanor·      Quality of Delivery – Work should be accurate, consistent, timely, and thorough Additional NotesThis job will be in Canadian working time zones.It is a must to have your own laptop, reliable/fast internet availability, and a quiet working environment.  Working Hours:6.00 PM - 2.00AM (Pakistan)8 hours a day, 5 days a week If you have what it takes, please share your resume at hr@prismteck.com","Strategic Management Services
            
              11-50 employees
            

              54 on LinkedIn"
