Job Title,Job Info,Job Type,Job Link,employees,Job Desception,Company Info
AWS Data Engineer,"Revcloud · Lahore, Punjab, Pakistan (Hybrid)  
1 week ago

 · 95 applicants",Full-time,https://www.linkedin.com/jobs/view/3718625891/?eBP=CwEAAAGKwID4h3c1ouh6u82tMxNHUOSkD_EJCd6ThI6BTvP-0xe44orJ0Pz4J1WS1njZBm4sN1G2nDyZFAaqSlpbOBqtGaH4oR01ZH5tV7kNDVVabuzCqUdLI82u7R02pYxlTSzxTDyNSI7BMRGExu2M1HCgkXi1sUuOScRwMDmkNiK27OSGwD82VEcGzTC5V-w40ouZKxLgiexCCrq0x7EshKN0jqU3-ZuKL1vc1B70rCNy6a0AnbWoGjShCcIyhrN9OfhhUv0H3Z6mFCKPI9JtTTThQ4KIL48M0cR0gAV1LgCT9Jxff7fPekGnxID1lIXIrrYBOKawq-m4kfTviF580RoOFzPxcmkDwN4dQ3xSLdgIzemlS6szMtAXu4w&refId=%2FnacsKUzjbCWekm1BTKqdA%3D%3D&trackingId=xyNDs2lSuS9540GRaF2qeQ%3D%3D&trk=flagship3_search_srp_jobs,11-50 employees,"About the job
            

 
About Revcloud:Revcloud is helping businesses use data to grow and we match you with low cost global teams to push your business to the next level. Imagine if you had all of the potential buyers of your products and services in your database, you knew what they liked to read, how to get them to talk to you, and you could use machine learning and AI to generate leads and grow your revenue. Revcloud is data you need, the playbooks proven to grow your business, and the low cost global teams to do the work.Job Summary:We are looking for an AWS Data Engineer to join our team. As a data engineer, you will be responsible for designing and implementing scalable, reliable, and efficient data pipelines on AWS cloud infrastructure. You should have at least 2+ years of experience working with AWS data technologies.Key Responsibilities: Design and develop data ingestion pipelines using AWS Glue, S3, and other relevant tools.Work with stakeholders to identify data requirements, data sources, and data transformations.Implement data quality checks and data validation procedures.Optimize data pipelines for performance and scalability.Troubleshoot and resolve data pipeline issues.Develop and maintain technical documentation.
Required Skills and Experience: At least 2 years of experience in AWS data engineering.Familiarity with AWS Glue, Athena, and S3.Strong programming skills in Python.Experience with SQL and relational databases.Experience with data modeling, data warehousing, and ETL.Familiarity with AWS Lambda and CloudFormation.Strong analytical and problem-solving skills.Excellent communication and collaboration skills.
Education and Certifications: Bachelor's or Master's degree in Computer Science, Software Engineering, or related field.AWS certification, such as AWS Certified Developer - Associate or AWS Cloud Practitioner is a plus.
Working Conditions: This is a hybrid position, you will be required to work from our Lahore office 3 days per week. 3 days/week on-call availability will be required.Working with a team in different time zones may require flexibility with working hours.If you meet the requirements and are passionate about working with data technologies on AWS cloud infrastructure, we encourage you to apply for this exciting opportunity as an AWS Data Engineer.","Software Development
            
              11-50 employees
            

              45 on LinkedIn"
Information Technology Business Partner,"Packages Group · Lahore, Punjab, Pakistan (On-site)  
3 weeks ago

 · 385 applicants",Full-time · Mid-Senior level,https://www.linkedin.com/jobs/view/3718625891/?eBP=CwEAAAGKwID4h3c1ouh6u82tMxNHUOSkD_EJCd6ThI6BTvP-0xe44orJ0Pz4J1WS1njZBm4sN1G2nDyZFAaqSlpbOBqtGaH4oR01ZH5tV7kNDVVabuzCqUdLI82u7R02pYxlTSzxTDyNSI7BMRGExu2M1HCgkXi1sUuOScRwMDmkNiK27OSGwD82VEcGzTC5V-w40ouZKxLgiexCCrq0x7EshKN0jqU3-ZuKL1vc1B70rCNy6a0AnbWoGjShCcIyhrN9OfhhUv0H3Z6mFCKPI9JtTTThQ4KIL48M0cR0gAV1LgCT9Jxff7fPekGnxID1lIXIrrYBOKawq-m4kfTviF580RoOFzPxcmkDwN4dQ3xSLdgIzemlS6szMtAXu4w&refId=%2FnacsKUzjbCWekm1BTKqdA%3D%3D&trackingId=xyNDs2lSuS9540GRaF2qeQ%3D%3D&trk=flagship3_search_srp_jobs,"5,001-10,000 employees · Packaging and Containers Manufacturing","About the job
            

 
Responsibilities Serve as strategic interface with the relevant Business Unit or Company for the purpose of information technology strategy development, IT service delivery and relationship management.End to end delivery of the projects covered by the IT and Digitalization Roadmap including ERP SAP implementation for the relevant Business Unit/ Company.
Qualifications & Skills MS or BS (CS)/ MBAMinimum 6-8 years of relevant experienceExtensive knowledge of IT industry trends, standard service delivery, IT infrastructure and project management including S/4HANA and SAP Cloud solutions.","Packaging and Containers Manufacturing
            
              5,001-10,000 employees
            

              971 on LinkedIn"
Python System Engineer,"Navigation and Communication Solutions Pvt Ltd · Lahore, Punjab, Pakistan (On-site)  
1 day ago

 · 44 applicants",Full-time,https://www.linkedin.com/jobs/view/3718625891/?eBP=CwEAAAGKwID4h3c1ouh6u82tMxNHUOSkD_EJCd6ThI6BTvP-0xe44orJ0Pz4J1WS1njZBm4sN1G2nDyZFAaqSlpbOBqtGaH4oR01ZH5tV7kNDVVabuzCqUdLI82u7R02pYxlTSzxTDyNSI7BMRGExu2M1HCgkXi1sUuOScRwMDmkNiK27OSGwD82VEcGzTC5V-w40ouZKxLgiexCCrq0x7EshKN0jqU3-ZuKL1vc1B70rCNy6a0AnbWoGjShCcIyhrN9OfhhUv0H3Z6mFCKPI9JtTTThQ4KIL48M0cR0gAV1LgCT9Jxff7fPekGnxID1lIXIrrYBOKawq-m4kfTviF580RoOFzPxcmkDwN4dQ3xSLdgIzemlS6szMtAXu4w&refId=%2FnacsKUzjbCWekm1BTKqdA%3D%3D&trackingId=xyNDs2lSuS9540GRaF2qeQ%3D%3D&trk=flagship3_search_srp_jobs,11-50 employees,"About the job
            

 
Job descriptionNavigation & Communication Solutions is looking for a dedicated & professional Python Developer who will be responsible for designing, developing, and implementing web applications, Server applications, APIs & custom controls. You must have MS degree in computer science or related discipline (18 Years of Education). You must have previous experience in Python development, configurations & deployments. Experience in ASP.Net, Dot Net Core, React, JQuery, Javascript & CSS is also required. We have a team comprised of highly recognized engineers. We are open to considering candidates based in any area who can work in our Lahore Development Office. Key Responsibilities: Manage existing applications modules built using similar technologiesDesign & implement new application modules based on the product requirements using Python, React, Javascript, JQuery, CSS, HTML5, LINQ, CSS3, JavaScript (ES6), C#, ASP.Net & Dot Net Core technologies.Build reusable code and libraries for future usethe current product.Implement & Manage data storage solutionsImplement & Integrate APIs (Django, Fast, Flask, Dot Net Core, Dot Net)Debug existing apps components, fix issues and avoid regressionsCollaborate closely with the teams of UI/UX designers, PMs, QAs, and other developersLead in software architecture, design discussions and code reviewsOptimize application for maximum speed and scalabilityFollow the company guidelines and best practicesManage storage Databases (SQL, MySQL, Postgres).Experience authoring, testing, and deploying code high-scale production applicationsMust have 2-5 years of Experience in development.
 Skills and Qualifications:  You have a Master degree in computer science or related discipline (18 Years of Education).Must have strong mathematical skills.Must have developed some presentable applications.Experience with Microsoft SQL server managementExperience with third-party libraries and API integration.Experience with supporting languages for different custom components (such as PHP, PowerShell, Power Query, Node.JS)Strong verbal and written communication skillsProficient understanding of code versioning tool, Git is preferred.Good understanding of Object-Oriented Programming & data structuresMicrosoft Certification is preferred.
Benefits:We offer an attractive benefits package, including but not limited to the following: Robust Medical Indoor & Outdoor coverageA break from work with Paid Time Off & HolidaysQuarterly BonusesPaid working Saturdays for priority deliveriesFlexible work environmentCompany DinnersBirthday CelebrationsFree / Paid WorkshopsWeekly Saturday / Sunday are Off
Job Type: PermanentSalary: Market Competitive","IT Services and IT Consulting
            
              11-50 employees
            

              22 on LinkedIn"
Full Stack Engineer,"Crexed · Bahawalpur, Punjab, Pakistan (On-site)  
1 week ago

 · 51 applicants",Full-time,https://www.linkedin.com/jobs/view/3718625891/?eBP=CwEAAAGKwID4h3c1ouh6u82tMxNHUOSkD_EJCd6ThI6BTvP-0xe44orJ0Pz4J1WS1njZBm4sN1G2nDyZFAaqSlpbOBqtGaH4oR01ZH5tV7kNDVVabuzCqUdLI82u7R02pYxlTSzxTDyNSI7BMRGExu2M1HCgkXi1sUuOScRwMDmkNiK27OSGwD82VEcGzTC5V-w40ouZKxLgiexCCrq0x7EshKN0jqU3-ZuKL1vc1B70rCNy6a0AnbWoGjShCcIyhrN9OfhhUv0H3Z6mFCKPI9JtTTThQ4KIL48M0cR0gAV1LgCT9Jxff7fPekGnxID1lIXIrrYBOKawq-m4kfTviF580RoOFzPxcmkDwN4dQ3xSLdgIzemlS6szMtAXu4w&refId=%2FnacsKUzjbCWekm1BTKqdA%3D%3D&trackingId=xyNDs2lSuS9540GRaF2qeQ%3D%3D&trk=flagship3_search_srp_jobs,11-50 employees,"About the job
            

 
Full Stack Developer (Laravel, Codignator)Responsibilities Designing and developing the front-end of a website or application. This includes working with HTML, CSS, and JavaScript to create a user interface that is both functional and visually appealing.Developing the back-end of a website or application. This includes working with programming languages such as PHP and its framework Laravel, and codeingnator to create the logic that powers the website or application.Working with databases to store and retrieve data. This includes understanding the principles of database design and how to implement them in a real-world application.Testing and debugging code. This involves finding and fixing errors in code to ensure that the website or application works as intended.Collaborating with other developers and team members. This includes communicating effectively and working together to deliver a successful project.Staying up-to-date on the latest technologies. This is essential for full stack developers, as the field of web development is constantly evolving.
In addition to these technical responsibilities, you may also be responsible for the following: Providing support to users. This includes answering questions from users about how to use the website or application.Managing projects. This includes planning, scheduling, and tracking the progress of projects.
QualificationsMinimum graduation preferably Master","Software Development
            
              11-50 employees
            

              7 on LinkedIn"
Data Specialist,"Careem · Karāchi, Sindh, Pakistan (Remote) Reposted  
2 weeks ago

 · 810 applicants",Full-time · Entry level,https://www.linkedin.com/jobs/view/3718625891/?eBP=CwEAAAGKwID4h3c1ouh6u82tMxNHUOSkD_EJCd6ThI6BTvP-0xe44orJ0Pz4J1WS1njZBm4sN1G2nDyZFAaqSlpbOBqtGaH4oR01ZH5tV7kNDVVabuzCqUdLI82u7R02pYxlTSzxTDyNSI7BMRGExu2M1HCgkXi1sUuOScRwMDmkNiK27OSGwD82VEcGzTC5V-w40ouZKxLgiexCCrq0x7EshKN0jqU3-ZuKL1vc1B70rCNy6a0AnbWoGjShCcIyhrN9OfhhUv0H3Z6mFCKPI9JtTTThQ4KIL48M0cR0gAV1LgCT9Jxff7fPekGnxID1lIXIrrYBOKawq-m4kfTviF580RoOFzPxcmkDwN4dQ3xSLdgIzemlS6szMtAXu4w&refId=%2FnacsKUzjbCWekm1BTKqdA%3D%3D&trackingId=xyNDs2lSuS9540GRaF2qeQ%3D%3D&trk=flagship3_search_srp_jobs,"1,001-5,000 employees · IT Services and IT Consulting","About the job
            

 
Careem is building the Everything App for the greater Middle East, making it easier than ever to move around, order food and groceries, manage payments, and more. Careem is led by a powerful purpose to simplify and improve the lives of people and build an awesome organisation that inspires. Since 2012, Careem has created earnings for over 2.5 million Captains, simplified the lives of over 50 million customers, and built a platform for the region’s best talent to thrive and for entrepreneurs to scale their businesses. Careem operates in over 70 cities across 10 countries, from Morocco to Pakistan.About The RoleCareem Grocery is on a mission to reinvent the way people shop for grocery, pharmacy and retail products. As an exciting new vertical within Careem (a startup within a startup), we’re in the early stages of building our product and have plenty of interesting and fundamental challenges to solve in order to achieve our ambitious growth goals in this burgeoning space.As a Data & Analytics Analyst, you’ll be responsible for bringing data orientation into decision-making across functions and topics within Grocery. This is a unique role with the opportunity to create genuine impact for the lives of everyday people in our region.We’re looking for someone with an amazing understanding of the online grocery market. Our ideal candidate is someone that excels at analysing data, makes data-driven recommendations and that relentlessly focuses on customers and desires to understand their current & future needs.What You’ll Do Be the custodian of the key business metrics and analyses that powers business decisions  Structure the analyses needed to answer key business questions, work with analysts to perform analyses and derive insights Translate data into insights in clear, concise and actionable presentations/reports to guide business decision and present to grocery leadership team Drive business growth through product funnel enhancements Designing experiments to test whether the interventions will drive growth for the business Build a strong feedback loop on product features with the product team Work very closely with the commercial teams across markets to scale product features’ roll-out Optimize & automate dashboards and reports to serve day-to-day data and analytics requests Create new data platforms where needed to unlock new types of insights 
  What you’ll need Successful candidates will have a passionate commitment to improving the lives of people, an insane focus on excellence and customer centricity, and a strong alignment with our core values and purpose.An enthusiastic and driven professional who is excited about understanding the business context and nuances, translating business asks to analytics requests, lead the analysis and derive business insights. 1 Year of work experience in analytics roles in a high-growth tech startup or similar data-heavy, product environments Proficient in SQL and Tableau or equivalent visualization tool (with 1 year professional experience)  Hands on experience with Python Strong presentation skills and an ability to communicate complex findings to various audiences in a clear manner both written and verbally An excellent communicator with any audience with stellar stakeholder management – You can easily explain complex concepts to people of any level Grittiness. You never hesitate to roll up your sleeves and address something hands-on, you persevere when others fall away 
What We’ll Provide YouWe offer colleagues the opportunity to drive impact in the region while they learn and grow. As a Careem colleague you will be able to:  Work and learn from great minds by joining a community of inspiring colleagues.  Put your passion to work in a purposeful organisation dedicated to creating impact in a region with a lot of untapped potential.  Explore new opportunities to learn and grow every day.  Enjoy the flexibility that comes with the trust of being an owner; work in a hybrid style with a mix of days at the office and at home, and remotely from any country in the world for 30 days a year with unlimited vacation days per year.  Access to healthcare benefits and fitness reimbursements for health activities including: gym, health club and training classes.","IT Services and IT Consulting
            
              1,001-5,000 employees
            

              5,285 on LinkedIn"
Business Development Specialist,"DotSinc · Rahimyar Khan, Punjab, Pakistan (On-site) Reposted  
1 week ago

 · 182 applicants",Full-time,https://www.linkedin.com/jobs/view/3718625891/?eBP=CwEAAAGKwID4h3c1ouh6u82tMxNHUOSkD_EJCd6ThI6BTvP-0xe44orJ0Pz4J1WS1njZBm4sN1G2nDyZFAaqSlpbOBqtGaH4oR01ZH5tV7kNDVVabuzCqUdLI82u7R02pYxlTSzxTDyNSI7BMRGExu2M1HCgkXi1sUuOScRwMDmkNiK27OSGwD82VEcGzTC5V-w40ouZKxLgiexCCrq0x7EshKN0jqU3-ZuKL1vc1B70rCNy6a0AnbWoGjShCcIyhrN9OfhhUv0H3Z6mFCKPI9JtTTThQ4KIL48M0cR0gAV1LgCT9Jxff7fPekGnxID1lIXIrrYBOKawq-m4kfTviF580RoOFzPxcmkDwN4dQ3xSLdgIzemlS6szMtAXu4w&refId=%2FnacsKUzjbCWekm1BTKqdA%3D%3D&trackingId=xyNDs2lSuS9540GRaF2qeQ%3D%3D&trk=flagship3_search_srp_jobs,1-10 employees,"About the job
            

 
The ideal candidate is a motivated, organized, and creative individual who welcomes the challenges of acquiring and developing new business through sales efforts. You will build key customer relationships, identify business opportunities, and close business deals while maintaining an extensive knowledge of current market conditions.  Responsibilities Cultivate strong business relationships with key decision makersProactively identify new opportunities and deliver innovative solutions to customersDevelop market strategies by researching lists of high potential prospects
Qualifications Currently enrolled in university of recent graduatedExcellent written communication skills","IT Services and IT Consulting
            
              2-10 employees
            

              2 on LinkedIn"
PPC Optimizer Role,"Clicks Geek · Pakistan (Remote)  
2 months ago

 · 957 applicants",Full-time,https://www.linkedin.com/jobs/view/3718625891/?eBP=CwEAAAGKwID4h3c1ouh6u82tMxNHUOSkD_EJCd6ThI6BTvP-0xe44orJ0Pz4J1WS1njZBm4sN1G2nDyZFAaqSlpbOBqtGaH4oR01ZH5tV7kNDVVabuzCqUdLI82u7R02pYxlTSzxTDyNSI7BMRGExu2M1HCgkXi1sUuOScRwMDmkNiK27OSGwD82VEcGzTC5V-w40ouZKxLgiexCCrq0x7EshKN0jqU3-ZuKL1vc1B70rCNy6a0AnbWoGjShCcIyhrN9OfhhUv0H3Z6mFCKPI9JtTTThQ4KIL48M0cR0gAV1LgCT9Jxff7fPekGnxID1lIXIrrYBOKawq-m4kfTviF580RoOFzPxcmkDwN4dQ3xSLdgIzemlS6szMtAXu4w&refId=%2FnacsKUzjbCWekm1BTKqdA%3D%3D&trackingId=xyNDs2lSuS9540GRaF2qeQ%3D%3D&trk=flagship3_search_srp_jobs,11-50 employees,"About the job
            

 
Clicks Geek PPC Optimizer Role Job DescriptionClicks Geek is a Google Premier Partner Agency with a focus on PPC ads for a large number of clients nationwide. We’re looking for a PPC specialist/manager to join our close-knit team and assist in providing excellent advertising to our client base. In this role, you will be managing daily ad optimizations for client Google Ads PPC accounts, under the supervision of our ad management team. Responsibilities:Reviewing the recommended ad optimizations on 30-40 accounts per dayAdding negative keywords for each account weeklyReporting any sharp changes in ad performance to the ad supervisor The ideal candidate MUST:1. Have 3+ years of experience with Google Ads2. Be Google Ads certified3. Have Google Ads campaign management experience 4. Be able to complete optimizations efficiently and on time5. Work Hours 9-5 ESTWe offer a flexible schedule, competitive pay, and an opportunity to grow with a PPC ad agency committed to excellence. Work Location:Fully Remote","Technology, Information and Internet
            
              11-50 employees
            

              8 on LinkedIn"
Assistant Manager Research & Innovation,"U Microfinance Bank Limited · Islamabad, Islāmābād, Pakistan (On-site)  
2 weeks ago

 · 504 applicants",Full-time · Entry level,https://www.linkedin.com/jobs/view/3718625891/?eBP=CwEAAAGKwID4h3c1ouh6u82tMxNHUOSkD_EJCd6ThI6BTvP-0xe44orJ0Pz4J1WS1njZBm4sN1G2nDyZFAaqSlpbOBqtGaH4oR01ZH5tV7kNDVVabuzCqUdLI82u7R02pYxlTSzxTDyNSI7BMRGExu2M1HCgkXi1sUuOScRwMDmkNiK27OSGwD82VEcGzTC5V-w40ouZKxLgiexCCrq0x7EshKN0jqU3-ZuKL1vc1B70rCNy6a0AnbWoGjShCcIyhrN9OfhhUv0H3Z6mFCKPI9JtTTThQ4KIL48M0cR0gAV1LgCT9Jxff7fPekGnxID1lIXIrrYBOKawq-m4kfTviF580RoOFzPxcmkDwN4dQ3xSLdgIzemlS6szMtAXu4w&refId=%2FnacsKUzjbCWekm1BTKqdA%3D%3D&trackingId=xyNDs2lSuS9540GRaF2qeQ%3D%3D&trk=flagship3_search_srp_jobs,"1,001-5,000 employees · Banking","About the job
            

 
Purpose of Job Working closely with the Head of Research & Strategy, on delivering on research projects as well as maintaining relations with key partners and collaborators
Job Responsibilities Supporting with primary and secondary research, including collecting, organizing, reading, summarizing and examining various resources including but not limited to white papers, journals, articles, research papers etc.Supporting on all research activities including desk research, survey design, report writing, conducting interviews and other field-work. Planning logistics for field-work and scheduling travel, meeting and interviews.Communicating and liaising with other departments (such as Product Development, Channel, IT etc.) and external partners for delivery of all research and innovation projects.Actively scouting academic and industry players to partner with to co-produce relevant research and knowledge pieces. Assessing and developing scope of research projects and ensuring project timelines/milestones are met and within budget.Scouting grant opportunities that align with U Bank’s research, digitization and financial inclusion goals.Preparing project proposals and presentations for grant applications which align with U Banks vision of financial inclusion. Assisting Manager Digitization in smooth operation of research aspects as well as providing operational support in digitization projectsBoosting company recognition through process of scouting industry awards and nomination in the same. Assisting in the delivery of the quarterly newsletter, U Bank Bulletin, including conducting primary and secondary research, drafting content for the newsletter, brainstorming ideas for potential topics for future issues, disseminating copies to relevant stakeholders and partners and planning for marketing strategies to increase audience engagement.Supporting Head of Department and marketing department in preparing content for internal as well as external publications e.g. annual report and press releases. Coordinate collection and verification of data (qualitative and quantitative, data sources) and other information for various U Bank research projects. Maintain relations with key stakeholders in the startup ecosystem such as investment ventures, startups, accelerators and incubators to get up-to-date information on investment and startups activities relevant to U Bank’s innovation work and goals. 
Technical Competency Strong command of Microsoft Office – especially Word, Excel and PowerPoint.A strong grasp over qualitative and quantitative research methodologies and relevant social science research techniquesExperience with statistical and data analysis using Excel and STATASkilled at generating easily digestible reports and knowledge products with actionable recommendations on initiating and optimizing projects.
Soft Skills Ability to communicate effectively, verbally and in writing.Strong critical thinking skillsStrong written and verbal communication skills and demonstrated ability to successfully communicate with people at all levels of the organization.Self-starter, well-organized with a keen attention to detail.Demonstrated ability to work well with othersMulti-tasker with the drive and ability to perform multiple tasks and roles and manage their time effectivelyTeam player who embraces a collaborative environment with the ability to work on various projects simultaneously, prioritize deliverables, and cross collaborate with other resources on the team, as well as other departments.Attention to detail and process orientedA strong grasp over qualitative and quantitative research methodologies and relevant social science research techniques. Demonstrated ability to simplify complex design requirements into component parts systematically evaluate them.Keen interest and motivated to build and develop their own skillset and knowledge base.Willingness to travel across Pakistan
Experience and Qualification An undergraduate or master’s degree in a subject area of demonstrated direct relevance for the role (e.g. development studies, sociology, economics, sociocultural and anthropology; gender studies; South Asian studies, public administration, public policy etc.)At least one year of experience, managing and conducting research projects and performing other tasks relevant to this role and as listed above.Experience within the banking sector is a plus but not a requirement.","Banking
            
              1,001-5,000 employees
            

              1,738 on LinkedIn"
Junior Writer,"Grothico · Karachi Division, Sindh, Pakistan (On-site)  
1 week ago

 · 178 applicants",Full-time,https://www.linkedin.com/jobs/view/3718625891/?eBP=CwEAAAGKwID4h3c1ouh6u82tMxNHUOSkD_EJCd6ThI6BTvP-0xe44orJ0Pz4J1WS1njZBm4sN1G2nDyZFAaqSlpbOBqtGaH4oR01ZH5tV7kNDVVabuzCqUdLI82u7R02pYxlTSzxTDyNSI7BMRGExu2M1HCgkXi1sUuOScRwMDmkNiK27OSGwD82VEcGzTC5V-w40ouZKxLgiexCCrq0x7EshKN0jqU3-ZuKL1vc1B70rCNy6a0AnbWoGjShCcIyhrN9OfhhUv0H3Z6mFCKPI9JtTTThQ4KIL48M0cR0gAV1LgCT9Jxff7fPekGnxID1lIXIrrYBOKawq-m4kfTviF580RoOFzPxcmkDwN4dQ3xSLdgIzemlS6szMtAXu4w&refId=%2FnacsKUzjbCWekm1BTKqdA%3D%3D&trackingId=xyNDs2lSuS9540GRaF2qeQ%3D%3D&trk=flagship3_search_srp_jobs,11-50 employees,"About the job
            

 
We are looking for a Junior Content Writer (Night Shift)Here are some key highlights of what we're looking for in a content writer:- Exceptional writing skills with a keen eye for detail- Ability to create engaging and informative content across various topics and industries- Strong research skills to develop well-informed articles, blog posts, and web content- Understanding of SEO best practices and how to optimize content for search engines- Ability to meet deadlines and work collaboratively with our teamIf this sounds like an exciting opportunity for you and you'd like to explore the possibility of joining our team, I would love to have a conversation with you. We value a collaborative and creative work environment, and we believe your expertise could contribute significantly to our content strategy.Please let me know if you're available for a brief chat, either via LinkedIn messaging or email (Hr@grothico.com). If you have any questions or would like to share more about your writing experience, I'm all ears!",
Business Development Specialist,"PrismTeck · Pakistan (Remote) Reposted  
5 days ago

 · 579 applicants",Full-time,https://www.linkedin.com/jobs/view/3718625891/?eBP=CwEAAAGKwID4h3c1ouh6u82tMxNHUOSkD_EJCd6ThI6BTvP-0xe44orJ0Pz4J1WS1njZBm4sN1G2nDyZFAaqSlpbOBqtGaH4oR01ZH5tV7kNDVVabuzCqUdLI82u7R02pYxlTSzxTDyNSI7BMRGExu2M1HCgkXi1sUuOScRwMDmkNiK27OSGwD82VEcGzTC5V-w40ouZKxLgiexCCrq0x7EshKN0jqU3-ZuKL1vc1B70rCNy6a0AnbWoGjShCcIyhrN9OfhhUv0H3Z6mFCKPI9JtTTThQ4KIL48M0cR0gAV1LgCT9Jxff7fPekGnxID1lIXIrrYBOKawq-m4kfTviF580RoOFzPxcmkDwN4dQ3xSLdgIzemlS6szMtAXu4w&refId=%2FnacsKUzjbCWekm1BTKqdA%3D%3D&trackingId=xyNDs2lSuS9540GRaF2qeQ%3D%3D&trk=flagship3_search_srp_jobs,11-50 employees,"About the job
            

 
Canadian-based PrismTeck Business Development Inc (https://www.prismteck.com) is growing its online team in Pakistan, Sri Lanka and Philippines and looking for Business Development Specialist  Role and Responsibilities·      Doing Online research using Google, YouTube, LinkedIn, and social media sources to identify projects, people, and the contact details of assigned accounts/customers.·      Preparing Account Business Plans.·      Setting up meetings for Field Business Development colleagues.·      Writing Minutes of Meetings / Call Reports based on inputs from the BD team.·      Ensuring timely and accurate entry into CRM and other templates provided.·      Develop good understanding of cost/pricing scenarios and prepare proposals.·      Collaborate with our existing teams to assist in completing assigned tasks with the intent of sharing the workload.·      Research and develop the blog post content for our marketing team.·      Assist in completing the application forms and sending them to the customers.·      Assist in developing project plans with proper timelines with accurate progress tracking. Qualifications and Education RequirementsYoung business graduates (BBA/MBA) with 1-3 years’ experience Preferred Skills·      Technical skills (i.e., computer proficiency in Microsoft Word, Excel, Access, and Microsoft Office Suite)·      Understanding of online tools for use in lead sourcing·      Excellent English communication and presentation skills (written and oral).·      Organization, planning, and persistence skills·      Strong work ethic along with a professional, proactive demeanor·      Quality of Delivery – Work should be accurate, consistent, timely, and thorough Additional NotesThis job will be in Canadian working time zones.It is a must to have your own laptop, reliable/fast internet availability, and a quiet working environment.  Working Hours:6.00 PM - 2.00AM (Pakistan)8 hours a day, 5 days a week If you have what it takes, please share your resume at hr@prismteck.com","Strategic Management Services
            
              11-50 employees
            

              54 on LinkedIn"
